"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Arkansas"	"05"	"1999"	"1999"	336	2651860	12.67	12.64
	"Arkansas"	"05"	"2000"	"2000"	349	2673400	13.05	12.99
	"Arkansas"	"05"	"2001"	"2001"	382	2691571	14.19	14.24
	"Arkansas"	"05"	"2002"	"2002"	377	2705927	13.93	13.97
	"Arkansas"	"05"	"2003"	"2003"	374	2724816	13.73	13.61
	"Arkansas"	"05"	"2004"	"2004"	361	2749686	13.13	13.01
	"Arkansas"	"05"	"2005"	"2005"	400	2781097	14.38	14.33
	"Arkansas"	"05"	"2006"	"2006"	376	2821761	13.33	13.28
	"Arkansas"	"05"	"2007"	"2007"	402	2848650	14.11	14.23
	"Arkansas"	"05"	"2008"	"2008"	447	2874554	15.55	15.50
	"Arkansas"	"05"	"2009"	"2009"	422	2896843	14.57	14.46
	"Arkansas"	"05"	"2010"	"2010"	447	2915918	15.33	15.47
	"Arkansas"	"05"	"2011"	"2011"	462	2939493	15.72	15.97
	"Arkansas"	"05"	"2012"	"2012"	485	2950685	16.44	16.27
	"Arkansas"	"05"	"2013"	"2013"	516	2958663	17.44	17.33
	"Arkansas"	"05"	"2014"	"2014"	515	2966912	17.36	17.29
	"Arkansas"	"05"	"2015"	"2015"	577	2977853	19.38	19.12
	"Arkansas"	"05"	"2016"	"2016"	555	2988248	18.57	18.19
	"California"	"06"	"1999"	"1999"	3077	33499204	9.19	9.59
	"California"	"06"	"2000"	"2000"	2969	33871648	8.77	9.15
	"California"	"06"	"2001"	"2001"	2831	34479458	8.21	8.51
	"California"	"06"	"2002"	"2002"	3228	34871843	9.26	9.58
	"California"	"06"	"2003"	"2003"	3397	35253159	9.64	9.89
	"California"	"06"	"2004"	"2004"	3368	35574576	9.47	9.66
	"California"	"06"	"2005"	"2005"	3206	35827943	8.95	9.10
	"California"	"06"	"2006"	"2006"	3334	36021202	9.26	9.32
	"California"	"06"	"2007"	"2007"	3602	36250311	9.94	9.93
	"California"	"06"	"2008"	"2008"	3775	36604337	10.31	10.28
	"California"	"06"	"2009"	"2009"	3823	36961229	10.34	10.21
	"California"	"06"	"2010"	"2010"	3913	37253956	10.50	10.33
	"California"	"06"	"2011"	"2011"	3996	37676861	10.61	10.41
	"California"	"06"	"2012"	"2012"	3893	38011074	10.24	10.02
	"California"	"06"	"2013"	"2013"	4025	38335203	10.50	10.21
	"California"	"06"	"2014"	"2014"	4214	38680810	10.89	10.55
	"California"	"06"	"2015"	"2015"	4167	38993940	10.69	10.32
	"California"	"06"	"2016"	"2016"	4294	39250017	10.94	10.52
	"Colorado"	"08"	"1999"	"1999"	574	4226018	13.58	13.71
	"Colorado"	"08"	"2000"	"2000"	613	4301261	14.25	14.32
	"Colorado"	"08"	"2001"	"2001"	722	4425687	16.31	16.50
	"Colorado"	"08"	"2002"	"2002"	727	4490406	16.19	16.20
	"Colorado"	"08"	"2003"	"2003"	728	4528732	16.08	16.11
	"Colorado"	"08"	"2004"	"2004"	797	4575013	17.42	17.23
	"Colorado"	"08"	"2005"	"2005"	800	4631888	17.27	17.24
	"Colorado"	"08"	"2006"	"2006"	730	4720423	15.46	15.31
	"Colorado"	"08"	"2007"	"2007"	811	4803868	16.88	16.63
	"Colorado"	"08"	"2008"	"2008"	803	4889730	16.42	16.12
	"Colorado"	"08"	"2009"	"2009"	941	4972195	18.93	18.74
	"Colorado"	"08"	"2010"	"2010"	865	5029196	17.20	16.77
	"Colorado"	"08"	"2011"	"2011"	913	5118360	17.84	17.49
	"Colorado"	"08"	"2012"	"2012"	1052	5189867	20.27	19.67
	"Colorado"	"08"	"2013"	"2013"	1007	5267603	19.12	18.55
	"Colorado"	"08"	"2014"	"2014"	1083	5349648	20.24	19.88
	"Colorado"	"08"	"2015"	"2015"	1093	5448819	20.06	19.50
	"Colorado"	"08"	"2016"	"2016"	1168	5540545	21.08	20.48
	"Connecticut"	"09"	"1999"	"1999"	274	3386401	8.09	7.94
	"Connecticut"	"09"	"2000"	"2000"	304	3405565	8.93	8.75
	"Connecticut"	"09"	"2001"	"2001"	283	3432835	8.24	8.12
	"Connecticut"	"09"	"2002"	"2002"	260	3458749	7.52	7.31
	"Connecticut"	"09"	"2003"	"2003"	272	3484336	7.81	7.55
	"Connecticut"	"09"	"2004"	"2004"	294	3496094	8.41	8.16
	"Connecticut"	"09"	"2005"	"2005"	295	3506956	8.41	8.13
	"Connecticut"	"09"	"2006"	"2006"	292	3517460	8.30	7.97
	"Connecticut"	"09"	"2007"	"2007"	271	3527270	7.68	7.32
	"Connecticut"	"09"	"2008"	"2008"	315	3545579	8.88	8.47
	"Connecticut"	"09"	"2009"	"2009"	316	3561807	8.87	8.50
	"Connecticut"	"09"	"2010"	"2010"	353	3574097	9.88	9.37
	"Connecticut"	"09"	"2011"	"2011"	370	3589893	10.31	9.80
	"Connecticut"	"09"	"2012"	"2012"	368	3593795	10.24	9.88
	"Connecticut"	"09"	"2013"	"2013"	330	3596003	9.18	8.73
	"Connecticut"	"09"	"2014"	"2014"	379	3591873	10.55	9.78
	"Connecticut"	"09"	"2015"	"2015"	384	3584730	10.71	9.89
	"Connecticut"	"09"	"2016"	"2016"	397	3576452	11.10	10.11
	"Delaware"	"10"	"1999"	"1999"	86	774990	11.10	11.05
	"Delaware"	"10"	"2000"	"2000"	82	783600	10.46	10.42
	"Delaware"	"10"	"2001"	"2001"	108	795699	13.57	13.46
	"Delaware"	"10"	"2002"	"2002"	74	806169	9.18	9.11
	"Delaware"	"10"	"2003"	"2003"	94	818003	11.49	11.35
	"Delaware"	"10"	"2004"	"2004"	93	830803	11.19	11.02
	"Delaware"	"10"	"2005"	"2005"	83	845150	9.82	9.66
	"Delaware"	"10"	"2006"	"2006"	91	859268	10.59	10.32
	"Delaware"	"10"	"2007"	"2007"	95	871749	10.90	10.59
	"Delaware"	"10"	"2008"	"2008"	109	883874	12.33	11.91
	"Delaware"	"10"	"2009"	"2009"	107	891730	12.00	11.70
	"Delaware"	"10"	"2010"	"2010"	106	897934	11.80	11.34
	"Delaware"	"10"	"2011"	"2011"	105	907924	11.56	11.00
	"Delaware"	"10"	"2012"	"2012"	125	916993	13.63	13.17
	"Delaware"	"10"	"2013"	"2013"	122	925395	13.18	12.48
	"Delaware"	"10"	"2014"	"2014"	126	934948	13.48	13.15
	"Delaware"	"10"	"2015"	"2015"	122	944076	12.92	12.61
	"Delaware"	"10"	"2016"	"2016"	119	952065	12.50	11.47
	"District of Columbia"	"11"	"1999"	"1999"	30	570213	5.26	5.12
	"District of Columbia"	"11"	"2000"	"2000"	23	572059	4.02	3.82
	"District of Columbia"	"11"	"2001"	"2001"	40	574504	6.96	6.52
	"District of Columbia"	"11"	"2002"	"2002"	31	573158	5.41	5.15
	"District of Columbia"	"11"	"2003"	"2003"	36	568502	6.33	6.12
	"District of Columbia"	"11"	"2004"	"2004"	33	567754	5.81	5.54
	"District of Columbia"	"11"	"2005"	"2005"	33	567136	5.82	5.39
	"District of Columbia"	"11"	"2006"	"2006"	30	570681	5.26	5.20
	"District of Columbia"	"11"	"2007"	"2007"	36	574404	6.27	5.98
	"District of Columbia"	"11"	"2008"	"2008"	43	580236	7.41	7.32
	"District of Columbia"	"11"	"2009"	"2009"	29	592228	4.90	4.44
	"District of Columbia"	"11"	"2010"	"2010"	41	601723	6.81	6.88
	"District of Columbia"	"11"	"2011"	"2011"	37	620477	5.96	5.50
	"District of Columbia"	"11"	"2012"	"2012"	37	635327	5.82	5.64
	"District of Columbia"	"11"	"2013"	"2013"	38	649165	5.85	5.73
	"District of Columbia"	"11"	"2014"	"2014"	52	659005	7.89	7.79
	"District of Columbia"	"11"	"2015"	"2015"	34	670377	5.07	4.86
	"District of Columbia"	"11"	"2016"	"2016"	40	681170	5.87	5.20
	"Florida"	"12"	"1999"	"1999"	2029	15759421	12.87	12.23
	"Florida"	"12"	"2000"	"2000"	2086	15982378	13.05	12.41
	"Florida"	"12"	"2001"	"2001"	2314	16356966	14.15	13.46
	"Florida"	"12"	"2002"	"2002"	2338	16689370	14.01	13.33
	"Florida"	"12"	"2003"	"2003"	2297	17004085	13.51	12.84
	"Florida"	"12"	"2004"	"2004"	2389	17415318	13.72	13.04
	"Florida"	"12"	"2005"	"2005"	2347	17842038	13.15	12.48
	"Florida"	"12"	"2006"	"2006"	2440	18166990	13.43	12.58
	"Florida"	"12"	"2007"	"2007"	2587	18367842	14.08	13.22
	"Florida"	"12"	"2008"	"2008"	2740	18527305	14.79	13.85
	"Florida"	"12"	"2009"	"2009"	2858	18652644	15.32	14.38
	"Florida"	"12"	"2010"	"2010"	2789	18801310	14.83	13.68
	"Florida"	"12"	"2011"	"2011"	2880	19096952	15.08	13.91
	"Florida"	"12"	"2012"	"2012"	3002	19344156	15.52	14.33
	"Florida"	"12"	"2013"	"2013"	2928	19582022	14.95	13.75
	"Florida"	"12"	"2014"	"2014"	3035	19888741	15.26	13.89
	"Florida"	"12"	"2015"	"2015"	3205	20244914	15.83	14.44
	"Florida"	"12"	"2016"	"2016"	3143	20612439	15.25	13.95
	"Georgia"	"13"	"1999"	"1999"	873	8045965	10.85	11.16
	"Georgia"	"13"	"2000"	"2000"	847	8186453	10.35	10.67
	"Georgia"	"13"	"2001"	"2001"	935	8377038	11.16	11.40
	"Georgia"	"13"	"2002"	"2002"	909	8508256	10.68	11.05
	"Georgia"	"13"	"2003"	"2003"	972	8622793	11.27	11.60
	"Georgia"	"13"	"2004"	"2004"	973	8769252	11.10	11.32
	"Georgia"	"13"	"2005"	"2005"	924	8925922	10.35	10.58
	"Georgia"	"13"	"2006"	"2006"	923	9155813	10.08	10.27
	"Georgia"	"13"	"2007"	"2007"	997	9349988	10.66	10.87
	"Georgia"	"13"	"2008"	"2008"	981	9504843	10.32	10.40
	"Georgia"	"13"	"2009"	"2009"	1134	9620846	11.79	11.85
	"Georgia"	"13"	"2010"	"2010"	1133	9687653	11.70	11.66
	"Georgia"	"13"	"2011"	"2011"	1157	9811610	11.79	11.71
	"Georgia"	"13"	"2012"	"2012"	1168	9914668	11.78	11.67
	"Georgia"	"13"	"2013"	"2013"	1212	9984938	12.14	11.97
	"Georgia"	"13"	"2014"	"2014"	1295	10087231	12.84	12.66
	"Georgia"	"13"	"2015"	"2015"	1317	10199398	12.91	12.71
	"Georgia"	"13"	"2016"	"2016"	1409	10310371	13.67	13.34
	"Hawaii"	"15"	"1999"	"1999"	136	1210300	11.24	11.09
	"Hawaii"	"15"	"2000"	"2000"	137	1211537	11.31	11.19
	"Hawaii"	"15"	"2001"	"2001"	136	1225948	11.09	10.89
	"Hawaii"	"15"	"2002"	"2002"	120	1239613	9.68	9.48
	"Hawaii"	"15"	"2003"	"2003"	131	1251154	10.47	10.17
	"Hawaii"	"15"	"2004"	"2004"	116	1273569	9.11	8.86
	"Hawaii"	"15"	"2005"	"2005"	107	1292729	8.28	8.14
	"Hawaii"	"15"	"2006"	"2006"	120	1309731	9.16	8.96
	"Hawaii"	"15"	"2007"	"2007"	133	1315675	10.11	9.52
	"Hawaii"	"15"	"2008"	"2008"	133	1332213	9.98	9.74
	"Hawaii"	"15"	"2009"	"2009"	175	1346717	12.99	12.52
	"Hawaii"	"15"	"2010"	"2010"	207	1360301	15.22	15.03
	"Hawaii"	"15"	"2011"	"2011"	181	1377864	13.14	12.76
	"Hawaii"	"15"	"2012"	"2012"	190	1391820	13.65	13.08
	"Hawaii"	"15"	"2013"	"2013"	171	1406481	12.16	11.82
	"Hawaii"	"15"	"2014"	"2014"	204	1416349	14.40	13.82
	"Hawaii"	"15"	"2015"	"2015"	201	1425157	14.10	13.61
	"Hawaii"	"15"	"2016"	"2016"	174	1428557	12.18	12.08
	"Idaho"	"16"	"1999"	"1999"	181	1275674	14.19	14.79
	"Idaho"	"16"	"2000"	"2000"	167	1293953	12.91	13.32
	"Idaho"	"16"	"2001"	"2001"	210	1319962	15.91	16.32
	"Idaho"	"16"	"2002"	"2002"	202	1340372	15.07	15.51
	"Idaho"	"16"	"2003"	"2003"	217	1363380	15.92	16.38
	"Idaho"	"16"	"2004"	"2004"	236	1391802	16.96	17.56
	"Idaho"	"16"	"2005"	"2005"	228	1428241	15.96	16.46
	"Idaho"	"16"	"2006"	"2006"	222	1468669	15.12	15.78
	"Idaho"	"16"	"2007"	"2007"	223	1505105	14.82	15.04
	"Idaho"	"16"	"2008"	"2008"	252	1534320	16.42	16.69
	"Idaho"	"16"	"2009"	"2009"	304	1554439	19.56	20.25
	"Idaho"	"16"	"2010"	"2010"	290	1567582	18.50	18.83
	"Idaho"	"16"	"2011"	"2011"	281	1584143	17.74	18.22
	"Idaho"	"16"	"2012"	"2012"	297	1595911	18.61	19.00
	"Idaho"	"16"	"2013"	"2013"	308	1612011	19.11	19.19
	"Idaho"	"16"	"2014"	"2014"	320	1633532	19.59	20.05
	"Idaho"	"16"	"2015"	"2015"	359	1652828	21.72	22.17
	"Idaho"	"16"	"2016"	"2016"	351	1683140	20.85	21.39
	"Illinois"	"17"	"1999"	"1999"	1020	12359020	8.25	8.31
	"Illinois"	"17"	"2000"	"2000"	1003	12419293	8.08	8.13
	"Illinois"	"17"	"2001"	"2001"	1139	12488445	9.12	9.17
	"Illinois"	"17"	"2002"	"2002"	1145	12525556	9.14	9.16
	"Illinois"	"17"	"2003"	"2003"	1011	12556006	8.05	8.04
	"Illinois"	"17"	"2004"	"2004"	1028	12589773	8.17	8.12
	"Illinois"	"17"	"2005"	"2005"	1086	12609903	8.61	8.58
	"Illinois"	"17"	"2006"	"2006"	1010	12643955	7.99	7.92
	"Illinois"	"17"	"2007"	"2007"	1108	12695866	8.73	8.63
	"Illinois"	"17"	"2008"	"2008"	1198	12747038	9.40	9.25
	"Illinois"	"17"	"2009"	"2009"	1177	12796778	9.20	9.07
	"Illinois"	"17"	"2010"	"2010"	1178	12830632	9.18	8.96
	"Illinois"	"17"	"2011"	"2011"	1226	12860012	9.53	9.29
	"Illinois"	"17"	"2012"	"2012"	1292	12870798	10.04	9.81
	"Illinois"	"17"	"2013"	"2013"	1321	12879505	10.26	9.93
	"Illinois"	"17"	"2014"	"2014"	1398	12867544	10.86	10.47
	"Illinois"	"17"	"2015"	"2015"	1363	12839047	10.62	10.32
	"Illinois"	"17"	"2016"	"2016"	1415	12801539	11.05	10.75
	"Indiana"	"18"	"1999"	"1999"	628	6044969	10.39	10.40
	"Indiana"	"18"	"2000"	"2000"	683	6080485	11.23	11.27
	"Indiana"	"18"	"2001"	"2001"	715	6127760	11.67	11.69
	"Indiana"	"18"	"2002"	"2002"	743	6155967	12.07	12.11
	"Indiana"	"18"	"2003"	"2003"	736	6196638	11.88	11.90
	"Indiana"	"18"	"2004"	"2004"	704	6233007	11.29	11.35
	"Indiana"	"18"	"2005"	"2005"	745	6278616	11.87	11.83
	"Indiana"	"18"	"2006"	"2006"	824	6332669	13.01	12.99
	"Indiana"	"18"	"2007"	"2007"	790	6379599	12.38	12.34
	"Indiana"	"18"	"2008"	"2008"	809	6424806	12.59	12.58
	"Indiana"	"18"	"2009"	"2009"	828	6459325	12.82	12.77
	"Indiana"	"18"	"2010"	"2010"	864	6483802	13.33	13.07
	"Indiana"	"18"	"2011"	"2011"	881	6516480	13.52	13.52
	"Indiana"	"18"	"2012"	"2012"	940	6537743	14.38	14.26
	"Indiana"	"18"	"2013"	"2013"	944	6569102	14.37	14.27
	"Indiana"	"18"	"2014"	"2014"	948	6595233	14.37	14.29
	"Indiana"	"18"	"2015"	"2015"	960	6612768	14.52	14.41
	"Indiana"	"18"	"2016"	"2016"	1034	6633053	15.59	15.39
	"Iowa"	"19"	"1999"	"1999"	305	2917634	10.45	10.29
	"Iowa"	"19"	"2000"	"2000"	289	2926324	9.88	9.85
	"Iowa"	"19"	"2001"	"2001"	304	2931997	10.37	10.22
	"Iowa"	"19"	"2002"	"2002"	314	2934234	10.70	10.67
	"Iowa"	"19"	"2003"	"2003"	352	2941999	11.96	11.86
	"Iowa"	"19"	"2004"	"2004"	343	2953635	11.61	11.52
	"Iowa"	"19"	"2005"	"2005"	333	2964454	11.23	11.16
	"Iowa"	"19"	"2006"	"2006"	334	2982644	11.20	11.15
	"Iowa"	"19"	"2007"	"2007"	322	2999212	10.74	10.66
	"Iowa"	"19"	"2008"	"2008"	380	3016734	12.60	12.62
	"Iowa"	"19"	"2009"	"2009"	361	3032870	11.90	11.86
	"Iowa"	"19"	"2010"	"2010"	372	3046355	12.21	12.10
	"Iowa"	"19"	"2011"	"2011"	422	3065223	13.77	13.91
	"Iowa"	"19"	"2012"	"2012"	383	3076310	12.45	12.67
	"Iowa"	"19"	"2013"	"2013"	447	3091930	14.46	14.42
	"Iowa"	"19"	"2014"	"2014"	407	3108030	13.10	12.92
	"Iowa"	"19"	"2015"	"2015"	433	3121997	13.87	13.90
	"Iowa"	"19"	"2016"	"2016"	451	3134693	14.39	14.58
	"Kansas"	"20"	"1999"	"1999"	299	2678338	11.16	11.24
	"Kansas"	"20"	"2000"	"2000"	325	2688418	12.09	12.22
	"Kansas"	"20"	"2001"	"2001"	293	2702162	10.84	10.94
	"Kansas"	"20"	"2002"	"2002"	345	2713535	12.71	12.68
	"Kansas"	"20"	"2003"	"2003"	347	2723004	12.74	12.77
	"Kansas"	"20"	"2004"	"2004"	370	2734373	13.53	13.64
	"Kansas"	"20"	"2005"	"2005"	362	2745299	13.19	13.33
	"Kansas"	"20"	"2006"	"2006"	379	2762931	13.72	13.87
	"Kansas"	"20"	"2007"	"2007"	382	2783785	13.72	13.69
	"Kansas"	"20"	"2008"	"2008"	337	2808076	12.00	12.09
	"Kansas"	"20"	"2009"	"2009"	382	2832704	13.49	13.62
	"Kansas"	"20"	"2010"	"2010"	401	2853118	14.05	13.97
	"Kansas"	"20"	"2011"	"2011"	394	2869503	13.73	13.78
	"Kansas"	"20"	"2012"	"2012"	502	2885262	17.40	17.47
	"Kansas"	"20"	"2013"	"2013"	425	2892821	14.69	14.71
	"Kansas"	"20"	"2014"	"2014"	455	2899360	15.69	15.76
	"Kansas"	"20"	"2015"	"2015"	477	2906721	16.41	16.30
	"Kansas"	"20"	"2016"	"2016"	514	2907289	17.68	17.93
	"Kentucky"	"21"	"1999"	"1999"	470	4018053	11.70	11.62
	"Kentucky"	"21"	"2000"	"2000"	521	4041769	12.89	12.78
	"Kentucky"	"21"	"2001"	"2001"	495	4068132	12.17	12.04
	"Kentucky"	"21"	"2002"	"2002"	540	4089875	13.20	13.02
	"Kentucky"	"21"	"2003"	"2003"	567	4117170	13.77	13.57
	"Kentucky"	"21"	"2004"	"2004"	560	4146101	13.51	13.27
	"Kentucky"	"21"	"2005"	"2005"	566	4182742	13.53	13.39
	"Kentucky"	"21"	"2006"	"2006"	622	4219239	14.74	14.59
	"Kentucky"	"21"	"2007"	"2007"	649	4256672	15.25	15.10
	"Kentucky"	"21"	"2008"	"2008"	612	4289878	14.27	14.00
	"Kentucky"	"21"	"2009"	"2009"	592	4317074	13.71	13.45
	"Kentucky"	"21"	"2010"	"2010"	631	4339367	14.54	14.16
	"Kentucky"	"21"	"2011"	"2011"	675	4369354	15.45	15.14
	"Kentucky"	"21"	"2012"	"2012"	724	4384799	16.51	16.19
	"Kentucky"	"21"	"2013"	"2013"	701	4400477	15.93	15.52
	"Kentucky"	"21"	"2014"	"2014"	728	4413057	16.50	15.98
	"Kentucky"	"21"	"2015"	"2015"	776	4424611	17.54	17.08
	"Kentucky"	"21"	"2016"	"2016"	756	4436974	17.04	16.78
	"Louisiana"	"22"	"1999"	"1999"	518	4460811	11.61	11.88
	"Louisiana"	"22"	"2000"	"2000"	468	4468976	10.47	10.67
	"Louisiana"	"22"	"2001"	"2001"	493	4477875	11.01	11.22
	"Louisiana"	"22"	"2002"	"2002"	499	4497267	11.10	11.22
	"Louisiana"	"22"	"2003"	"2003"	461	4521042	10.20	10.31
	"Louisiana"	"22"	"2004"	"2004"	537	4552238	11.80	11.91
	"Louisiana"	"22"	"2005"	"2005"	505	4576628	11.03	10.99
	"Louisiana"	"22"	"2006"	"2006"	492	4302665	11.43	11.48
	"Louisiana"	"22"	"2007"	"2007"	522	4375581	11.93	11.95
	"Louisiana"	"22"	"2008"	"2008"	532	4435586	11.99	12.01
	"Louisiana"	"22"	"2009"	"2009"	490	4491648	10.91	10.86
	"Louisiana"	"22"	"2010"	"2010"	557	4533372	12.29	12.30
	"Louisiana"	"22"	"2011"	"2011"	573	4575404	12.52	12.50
	"Louisiana"	"22"	"2012"	"2012"	567	4603429	12.32	12.38
	"Louisiana"	"22"	"2013"	"2013"	583	4626402	12.60	12.36
	"Louisiana"	"22"	"2014"	"2014"	679	4647880	14.61	14.33
	"Louisiana"	"22"	"2015"	"2015"	722	4668960	15.46	15.23
	"Louisiana"	"22"	"2016"	"2016"	677	4681666	14.46	14.19
	"Maine"	"23"	"1999"	"1999"	175	1266808	13.81	13.40
	"Maine"	"23"	"2000"	"2000"	154	1274923	12.08	11.84
	"Maine"	"23"	"2001"	"2001"	161	1285692	12.52	12.09
	"Maine"	"23"	"2002"	"2002"	166	1295960	12.81	12.51
	"Maine"	"23"	"2003"	"2003"	137	1306513	10.49	9.97
	"Maine"	"23"	"2004"	"2004"	171	1313688	13.02	12.41
	"Maine"	"23"	"2005"	"2005"	175	1318787	13.27	12.44
	"Maine"	"23"	"2006"	"2006"	158	1323619	11.94	11.05
	"Maine"	"23"	"2007"	"2007"	191	1327040	14.39	13.63
	"Maine"	"23"	"2008"	"2008"	181	1330509	13.60	12.72
	"Maine"	"23"	"2009"	"2009"	197	1329590	14.82	13.96
	"Maine"	"23"	"2010"	"2010"	186	1328361	14.00	13.17
	"Maine"	"23"	"2011"	"2011"	235	1328231	17.69	16.63
	"Maine"	"23"	"2012"	"2012"	209	1328895	15.73	14.54
	"Maine"	"23"	"2013"	"2013"	245	1329076	18.43	17.43
	"Maine"	"23"	"2014"	"2014"	220	1330719	16.53	15.65
	"Maine"	"23"	"2015"	"2015"	235	1329453	17.68	16.01
	"Maine"	"23"	"2016"	"2016"	226	1331479	16.97	15.90
	"Maryland"	"24"	"1999"	"1999"	435	5254509	8.28	8.28
	"Maryland"	"24"	"2000"	"2000"	474	5296486	8.95	9.00
	"Maryland"	"24"	"2001"	"2001"	454	5374691	8.45	8.40
	"Maryland"	"24"	"2002"	"2002"	477	5440389	8.77	8.75
	"Maryland"	"24"	"2003"	"2003"	491	5496269	8.93	8.91
	"Maryland"	"24"	"2004"	"2004"	500	5546935	9.01	8.85
	"Maryland"	"24"	"2005"	"2005"	472	5592379	8.44	8.42
	"Maryland"	"24"	"2006"	"2006"	495	5627367	8.80	8.61
	"Maryland"	"24"	"2007"	"2007"	518	5653408	9.16	8.99
	"Maryland"	"24"	"2008"	"2008"	507	5684965	8.92	8.67
	"Maryland"	"24"	"2009"	"2009"	551	5730388	9.62	9.33
	"Maryland"	"24"	"2010"	"2010"	502	5773552	8.69	8.32
	"Maryland"	"24"	"2011"	"2011"	558	5843603	9.55	9.20
	"Maryland"	"24"	"2012"	"2012"	583	5889651	9.90	9.46
	"Maryland"	"24"	"2013"	"2013"	569	5931129	9.59	9.15
	"Maryland"	"24"	"2014"	"2014"	606	5967295	10.16	9.80
	"Maryland"	"24"	"2015"	"2015"	553	5994983	9.22	8.81
	"Maryland"	"24"	"2016"	"2016"	586	6016447	9.74	9.34
	"Massachusetts"	"25"	"1999"	"1999"	431	6317345	6.82	6.67
	"Massachusetts"	"25"	"2000"	"2000"	387	6349097	6.10	5.97
	"Massachusetts"	"25"	"2001"	"2001"	426	6397634	6.66	6.49
	"Massachusetts"	"25"	"2002"	"2002"	436	6417206	6.79	6.61
	"Massachusetts"	"25"	"2003"	"2003"	433	6422565	6.74	6.55
	"Massachusetts"	"25"	"2004"	"2004"	425	6412281	6.63	6.42
